,0
0,niyema
1,dengeyy
2,solaa
3,pukaa
4,puku
5,lanjodakaa
6,kojaapuka
7,kojaa
8,koja
9,lanjaaa
10,lanja
11,puku
12,puka
13,moda
14,sola
15,dengey
16,kojalanja
17,lanjakodaka
18,neyema
19,denga
20,neyeba
21,lanjapuka
22,boku
23,yedava
24,denginchuko
25,dengaa
26,bavarslanja
27,lanjaakodaka
28,mingey
29,badkoo
30,lawada
31,gudha
32,geru
33,boka
34,areepuka
35,jadepuka
36,modagudu
37,lapaki
38,sollu
39,kondapuka
40,pichilanja
41,pichipuka
42,madharchod
43,benkeylavdey
44,benchodh
45,madarchodh
46,bhenchod
47,lawde
48,lavdeyy
49,maadarchod
50,gaandu
51,chuteyaa
52,chutiya
53,randi
54,chinaal
55,bhosadika
56,ludakeybal
57,madarjaat
58,haraami
59,randwa
60,bhosda
61,hijade
62,haramkhor
63,chuth
64,dick
65,bitch
66,motherfucker
67,sexy
68,fuck
69,ass
70,boobs
71,pussy
72,nudes
73,jackass
74,dumdass
75,dumbshit
76,shit
77,asshole
